"code_type","name","_modified_date","created_by","_modified_by","desctiption","created_date","active","id"
"severity","low","2010-03-24T15:52:43.093059Z","0","0","","2010-03-24T15:52:43.093004Z","False","1"
"severity","medium","2010-03-24T15:53:33.690079Z","0","0","","2010-03-24T15:53:33.690010Z","False","2"
"severity","high","2010-03-24T15:53:48.873239Z","0","0","","2010-03-24T15:53:48.873181Z","False","3"
"priority","low","2010-03-24T15:54:42.210587Z","0","0","","2010-03-24T15:54:42.210501Z","False","4"
"priority","medium","2010-03-24T15:55:49.251629Z","0","0","","2010-03-24T15:55:49.251569Z","False","5"
"priority","High","2010-03-24T15:57:37.802909Z","0","0","","2010-03-24T15:56:00.182857Z","False","6"
